Article 6,The obligation to notify to the BBNJ Clearing House Mechanism certain information/data. EU Member States will have to identify who has to do this notification: most likely the chief scientists responsible for the research project.,Competent authorities of Member States BBNJ Clear- house mechanism Member states,Notificati on,Data; Digital Solutions; Digital Public Service
Article 7,Obligation for legal and natural persons utilising MGR of ABNJ to communicate to the competent authority the confirmations of deposits of samples and data.,Legal and natural persons Competent authorities of Member States Member States,Notificati on,Data; Digital solutions
In scope of the BBNJ Clearing- House Mechanism
Article 8,"For activities for which an environmental impact assessment has been carried out in accordance with the requirements of other relevant legal instruments or frameworks or by relevant global, regional, subregional or sectoral bodies, obligation for Member States to publish an environmental impact assessment report through the BBNJ Clear- House Mechanism and make relevant information available",General public Member States,"Publicati on, data managem ent",Data; Digital solution; Digital Public Service
Article 9,Obligation to publish the screening decision,Competent authority General public,Publicati on,Data; Digital solution; Digital Public Service
Article 10,Environmental impact,Competent,Data,Data
assessment: scoping and report,authority Member States,collection
Article 11,Obligation to inform and consult general public on planned activities and environment impact assessment,Member States General public,Publicati on,Data
Article 12,Obligation to inform the general public on decisions to authorise or not planned activities,Member States General public,Publicati on,Data
Article 13,Obligation to inform about significant and harmful changes to the marine environment triggered by the authorised activities and that were not foreseen during the environmental impact assessment,Member states General public,Publicati on,Data
