"CBAM Non-Compliance Monitoring, Circumvention Investigation, and Risk Management Data.","CBAM information system used for tracking, monitoring, and enhancing potential or confirmed cases of irregularities & non-compliance in CBAM scheme. Identifying, monitoring, investigating, and reporting on circumvention and other illegal practices in non-compliance with CBAM Regulation. Risk Assessment (incl. results of declarations assessments) & management component to identify & assess risks (e.g. risk events analysis, verification reports, risk control results, etc.) relating to declaration review process & CBAM Registry Back-End potential irregularities & circumventions (further investigation). Integrates information and functionality between investigations, risk management, and secure forum for respective activities."
CBAM Reference Data.,Primary source for all CBAM reference data and ensures data consistency and integrityacross all CBAM components(directlyor indirectly).
"CBAM Reporting, Dashboards, Notifications, and Document Management Data.","Critical tool for tracking and monitoring CBAM scheme and KPIs and relevant business metrics collection and analysis. Used to communicate business information to relevant users of CBAM system and scheme; this includes the ability for replying to notifications where necessary/ required. Used for the storage, retrieval, and management of documents affecting many compartments across the CBAM system."
CBAM Secure Forum Data.,"Platform for ad hoc communication as well as sensitive information exchange between all authorities responsible for CBAM regulation implementation (NCAs, NCCAs, Commission, Other Authorities such as EPPO, OLAF etc.). All other structured and/ or un-structured information/ data sourced and/ or extracted from the CBAM system and stored and/ or processed in storage and media locations external to the CBAM system."
CBAM Users’ Access Management Data.,"Users’ (e.g., declarants, Member States Customs Authorities, EC Authorities, etc.) access,login,and access management data to the CBAM system."
Operators of 3rd Countries and their Installations Data.,"Allows operators of 3rd country installations producing CBAM applicable goods to register/ de-register (e.g. cessation of operations) as CBAM operators and provide relevant information regarding production processes/ methods, qualifying parameters, emissions data, and verification reports, etc. The relevant verification report may be made available for use by CBAM Declarants - this information includes confidential production and qualifying parameters data that may not be available to Declarants but only EU Commission and NCAs)."
CBAM Declarant/ Importer Functions,Primary business functions performed by the Declarant/ trader relying on processes executed/ initiated through the CBAM Declarant portal.
CBAM EU Commission Functions,Primary business functions performed by the European Commission relying on processes executed/ initiated through the CBAM Commission portal.
"CBAM Non-Compliance Monitoring, Circumvention Investigation, and Risk Management Function","CBAM information system used for tracking, monitoring, and enhancing potential or confirmed cases of irregularities & non-compliance in CBAM scheme."
National Competent Authorities Functions,Primary business functions performed by member state’s national competent authorities (NCAs/ NCCAs) relying on processes executed/ initiated through the CBAM NCAportal.
Operators of 3rd Countries Installations & Accredited Verifiers Functions,Primary business functions performed by 3rd Country Operators & Installations and Accredited Verifiers (TBC) relying on processes executed/ initiated through the CBAM 3rd CountryOperators & Installationsportal.
